FAO_Country,waterland_sq_km,,,
Africa,669435,,,
Albania,1350,,,
Americas,1960350,,,
Argentina,43710,,,
Armenia,1270,,,
Asia,943623,,,
Australia,58920,,,
Australia & New Zealand,63320,,,
Austria,1348,,,
Azerbaijan,3941,,,
Bahamas,3870,,,
Bangladesh,18290,,,
Belarus,4690,,,
Belgium,250,,,
Belize,160,,,
Benin,2000,,,
Bhutan,277,,,
Bolivia (Plurinational State of),15280,,,
Bosnia and Herzegovina,10,,,
Botswana,15000,,,
Brazil,157630,,,
Brunei Darussalam,500,,,
Bulgaria,2440,,,
Burkina Faso,620,,,
Burundi,2150,,,
Cambodia,4520,,,
Cameroon,2730,,,
Canada,891160,,,
Caribbean,8115,,,
Cayman Islands,24,,,
Central America,34390,,,
Central Asia,76111,,,
Chad,24800,,,
Chile,12564,,,
China,175300,,,
"China, Hong Kong SAR",50,,,
"China, mainland",174700,,,
"China, Taiwan Province of",550,,,
Colombia,32249,,,
Congo,500,,,
Costa Rica,40,,,
Côte d'Ivoire,4460,,,
Croatia,630,,,
Cuba,3431,,,
Cyprus,10,,,
Czech Republic,1640,,,
Democratic People's Republic of Korea,130,,,
Democratic Republic of the Congo,77810,,,
Denmark,660,,,
Djibouti,20,,,
Dominican Republic,350,,,
Eastern Africa,304665,,,
Eastern Asia,202192,,,
Eastern Europe,773628,,,
Ecuador,8010,,,
Egypt,6000,,,
El Salvador,320,,,
Eritrea,16600,,,
Estonia,2840,,,
Ethiopia,104300,,,
Europe,924253,,,
European Union,145431,,,
Finland,34530,,,
France,1530,,,
French Guiana,1330,,,
French Polynesia,340,,,
Gabon,10000,,,
Gambia,1180,,,
Georgia,210,,,
Germany,8630,,,
Ghana,11000,,,
Greece,3060,,,
Guadeloupe,10,,,
Guatemala,1730,,,
Guinea,140,,,
Guinea-Bissau,8010,,,
Guyana,18120,,,
Haiti,190,,,
Honduras,600,,,
Hungary,2500,,,
Iceland,2750,,,
India,314070,,,
Indonesia,99360,,,
Iran (Islamic Republic of),116600,,,
Iraq,920,,,
Ireland,1390,,,
Israel,430,,,
Italy,7200,,,
Jamaica,160,,,
Japan,13402,,,
Jordan,540,,,
Kazakhstan,25202,,,
Kenya,11230,,,
Kyrgyzstan,8149,,,
Land Locked Developing Countries,375541,,,
Lao People's Democratic Republic,6000,,,
Latvia,2300,,,
Least Developed Countries,633452,,,
Lebanon,220,,,
Liberia,15050,,,
Lithuania,2625,,,
Low Income Food Deficit Countries,1016191,,,
Madagascar,5495,,,
Malawi,24200,,,
Malaysia,2250,,,
Mali,20000,,,
Martinique,70,,,
Mauritius,10,,,
Melanesia,11190,,,
Mexico,20430,,,
Middle Africa,115840,,,
Mongolia,10560,,,
Montenegro,360,,,
Morocco,250,,,
Mozambique,13000,,,
Myanmar,23510,,,
Namibia,1000,,,
Nepal,3830,,,
Net Food Importing Developing Countries,769123,,,
Netherlands,7830,,,
New Caledonia,300,,,
New Zealand,4400,,,
Nicaragua,10030,,,
Niger,300,,,
Nigeria,13000,,,
Northern Africa,144310,,,
Northern America,1575260,,,
Northern Europe,108788,,,
Norway,19933,,,
Oceania,74890,,,
Pakistan,25220,,,
Panama,1080,,,
Papua New Guinea,9980,,,
Paraguay,9452,,,
Peru,5220,,,
Philippines,1830,,,
Poland,6470,,,
Polynesia,380,,,
Portugal,620,,,
Republic of Korea,2800,,,
Republic of Moldova,970,,,
Réunion,10,,,
Romania,8360,,,
Russian Federation,721380,,,
Rwanda,1670,,,
Saint Lucia,10,,,
Saint Pierre and Miquelon,10,,,
Samoa,10,,,
Senegal,4180,,,
Serbia,900,,,
Sierra Leone,120,,,
Singapore,10,,,
Slovakia,948,,,
Slovenia,130,,,
Small Island Developing States,53815,,,
Solomon Islands,910,,,
Somalia,10320,,,
South Africa,6000,,,
South America,342585,,,
South-Eastern Asia,161112,,,
Southern Africa,22160,,,
Southern Asia,481187,,,
Southern Europe,20480,,,
Spain,5730,,,
Sri Lanka,2900,,,
Suriname,7820,,,
Swaziland,160,,,
Sweden,40080,,,
Switzerland,1769,,,
Syrian Arab Republic,1550,,,
Tajikistan,2590,,,
Thailand,2230,,,
The former Yugoslav Republic of Macedonia,490,,,
Togo,2400,,,
Tonga,30,,,
Tunisia,8250,,,
Turkey,13930,,,
Turkmenistan,18170,,,
Uganda,41030,,,
Ukraine,24230,,,
United Kingdom,1680,,,
United Republic of Tanzania,61500,,,
United States of America,684090,,,
Uruguay,1200,,,
Uzbekistan,22000,,,
Venezuela (Bolivarian Republic of),30000,,,
Viet Nam,20902,,,
Western Africa,82460,,,
Western Asia,23021,,,
Western Europe,21357,,,
World,4572551,,,
Zambia,9220,,,
Zimbabwe,3910,,,
,,,,
,,,,
