ISO3,waterland_sq_km
NA,669435
ALB,1350
NA,1960350
ARG,43710
ARM,1270
NA,943623
AUS,58920
NA,63320
AUT,1348
AZE,3941
BHS,3870
BGD,18290
BLR,4690
BEL,250
BLZ,160
BEN,2000
BTN,277
BOL,15280
BIH,10
BWA,15000
BRA,157630
BRN,500
BGR,2440
BFA,620
BDI,2150
KHM,4520
CMR,2730
CAN,891160
NA,8115
CYM,24
NA,34390
NA,76111
TCD,24800
CHL,12564
,175300
HKG,50
CHN,174700
TWN,550
COL,32249
COG,500
CRI,40
NA,4460
HRV,630
CUB,3431
CYP,10
CZE,1640
PRK,130
COD,77810
DNK,660
DJI,20
DOM,350
NA,304665
NA,202192
NA,773628
ECU,8010
EGY,6000
SLV,320
ERI,16600
EST,2840
ETH,104300
NA,924253
NA,145431
FIN,34530
FRA,1530
GUF,1330
PYF,340
GAB,10000
GMB,1180
GEO,210
DEU,8630
GHA,11000
GRC,3060
GLP,10
GTM,1730
GIN,140
GNB,8010
GUY,18120
HTI,190
HND,600
HUN,2500
ISL,2750
IND,314070
IDN,99360
IRN,116600
IRQ,920
IRL,1390
ISR,430
ITA,7200
JAM,160
JPN,13402
JOR,540
KAZ,25202
KEN,11230
KGZ,8149
NA,375541
LAO,6000
LVA,2300
NA,633452
LBN,220
LBR,15050
LTU,2625
NA,1016191
MDG,5495
MWI,24200
MYS,2250
MLI,20000
MTQ,70
MUS,10
NA,11190
MEX,20430
NA,115840
MNG,10560
MNE,360
MAR,250
MOZ,13000
MMR,23510
NAM,1000
NPL,3830
NA,769123
NLD,7830
NCL,300
NZL,4400
NIC,10030
NER,300
NGA,13000
NA,144310
NA,1575260
NA,108788
NOR,19933
NA,74890
PAK,25220
PAN,1080
PNG,9980
PRY,9452
PER,5220
PHL,1830
POL,6470
NA,380
PRT,620
KOR,2800
MDA,970
NA,10
ROU,8360
RUS,721380
RWA,1670
LCA,10
SPM,10
WSM,10
SEN,4180
SRB,900
SLE,120
SGP,10
SVK,948
SVN,130
NA,53815
SLB,910
SOM,10320
ZAF,6000
NA,342585
NA,161112
NA,22160
NA,481187
NA,20480
ESP,5730
LKA,2900
SUR,7820
SWZ,160
SWE,40080
CHE,1769
SYR,1550
TJK,2590
THA,2230
MKD,490
TGO,2400
TON,30
TUN,8250
TUR,13930
TKM,18170
UGA,41030
UKR,24230
GBR,1680
TZA,61500
USA,684090
URY,1200
UZB,22000
VEN,30000
VNM,20902
NA,82460
NA,23021
NA,21357
NA,4572551
ZMB,9220
ZWE,3910
ATA,NA
ALA,NA
UMI,NA
VGB,NA
BLM,NA
MAF,NA
SXM,NA
SGS,NA
CUW,NA
ATF,NA
JEY,NA
HMD,NA
GGY,NA
BES,NA
CCK,NA
BVT,NA
CXR,NA
,NA
ATA,NA
ALA,NA
UMI,NA
VGB,NA
BLM,NA
MAF,NA
SXM,NA
SGS,NA
CUW,NA
ATF,NA
JEY,NA
HMD,NA
GGY,NA
BES,NA
CCK,NA
BVT,NA
CXR,NA
,NA
