type,age,load,filtersize,type2,age2,load2,filtersize2
All,All,FRONT,20|333,All,All,TOP,20|333
All,NEW,All,20|333,All,AGED,All,20|333
All,All,All,20,All,All,All,333
All,NEW,FRONT,20|333,All,NEW,TOP,20|333
All,NEW,All,20,All,AGED,All,20
All,All,FRONT,20,All,All,FRONT,333
All,AGED,FRONT,20|333,All,AGED,TOP,20|333
All,NEW,All,333,All,AGED,All,333
All,All,TOP,20,All,All,TOP,333
All,NEW,All,comb,All,AGED,All,comb
All,All,FRONT,comb,All,All,TOP,comb
All,NEW,FRONT,20,All,NEW,FRONT,333
All,NEW,TOP,20,All,NEW,TOP,333
All,AGED,FRONT,20,All,AGED,FRONT,333
All,AGED,TOP,20,All,AGED,TOP,333
All,NEW,FRONT,20,All,NEW,TOP,20
All,AGED,FRONT,20,All,AGED,TOP,20
All,NEW,FRONT,333,All,NEW,TOP,333
All,AGED,FRONT,333,All,AGED,TOP,333
All,NEW,FRONT,comb,All,NEW,TOP,comb
All,AGED,FRONT,comb,All,AGED,TOP,comb
All,NEW,FRONT,20,All,AGED,FRONT,20
All,AGED,TOP,20,All,NEW,TOP,20
All,NEW,FRONT,333,All,AGED,FRONT,333
All,AGED,TOP,333,All,NEW,TOP,333
All,NEW,FRONT,comb,All,AGED,FRONT,comb
All,AGED,TOP,comb,All,NEW,TOP,comb
GB,All,FRONT,20|333,GB,All,TOP,20|333
GB,NEW,All,20|333,GB,AGED,All,20|333
GB,All,All,20,GB,All,All,333
GB,NEW,FRONT,20|333,GB,NEW,TOP,20|333
GB,NEW,All,20,GB,AGED,All,20
GB,All,FRONT,20,GB,All,FRONT,333
GB,AGED,FRONT,20|333,GB,AGED,TOP,20|333
GB,NEW,All,333,GB,AGED,All,333
GB,All,TOP,20,GB,All,TOP,333
GB,NEW,All,comb,GB,AGED,All,comb
GB,All,FRONT,comb,GB,All,TOP,comb
NR,All,FRONT,20|333,NR,All,TOP,20|333
NR,NEW,All,20|333,NR,AGED,All,20|333
NR,All,All,20,NR,All,All,333
NR,NEW,FRONT,20|333,NR,NEW,TOP,20|333
NR,NEW,All,20,NR,AGED,All,20
NR,All,FRONT,20,NR,All,FRONT,333
NR,AGED,FRONT,20|333,NR,AGED,TOP,20|333
NR,NEW,All,333,NR,AGED,All,333
NR,All,TOP,20,NR,All,TOP,333
NR,NEW,All,comb,NR,AGED,All,comb
NR,All,FRONT,comb,NR,All,TOP,comb
R2,All,FRONT,20|333,R2,All,TOP,20|333
R2,NEW,All,20|333,R2,AGED,All,20|333
R2,All,All,20,R2,All,All,333
R2,NEW,FRONT,20|333,R2,NEW,TOP,20|333
R2,NEW,All,20,R2,AGED,All,20
R2,All,FRONT,20,R2,All,FRONT,333
R2,AGED,FRONT,20|333,R2,AGED,TOP,20|333
R2,NEW,All,333,R2,AGED,All,333
R2,All,TOP,20,R2,All,TOP,333
R2,NEW,All,comb,R2,AGED,All,comb
R2,All,FRONT,comb,R2,All,TOP,comb
ST,All,FRONT,20|333,ST,All,TOP,20|333
ST,NEW,All,20|333,ST,AGED,All,20|333
ST,All,All,20,ST,All,All,333
ST,NEW,FRONT,20|333,ST,NEW,TOP,20|333
ST,NEW,All,20,ST,AGED,All,20
ST,All,FRONT,20,ST,All,FRONT,333
ST,AGED,FRONT,20|333,ST,AGED,TOP,20|333
ST,NEW,All,333,ST,AGED,All,333
ST,All,TOP,20,ST,All,TOP,333
ST,NEW,All,comb,ST,AGED,All,comb
ST,All,FRONT,comb,ST,All,TOP,comb
BS,All,FRONT,20|333,BS,All,TOP,20|333
BS,NEW,All,20|333,BS,AGED,All,20|333
BS,All,All,20,BS,All,All,333
BS,NEW,FRONT,20|333,BS,NEW,TOP,20|333
BS,NEW,All,20,BS,AGED,All,20
BS,All,FRONT,20,BS,All,FRONT,333
BS,AGED,FRONT,20|333,BS,AGED,TOP,20|333
BS,NEW,All,333,BS,AGED,All,333
BS,All,TOP,20,BS,All,TOP,333
BS,NEW,All,comb,BS,AGED,All,comb
BS,All,FRONT,comb,BS,All,TOP,comb
BS,All,All,20|333,GB,All,All,20|333
BS,All,All,comb,GB,All,All,comb
BS,All,FRONT,20|333,GB,All,FRONT,20|333
BS,NEW,All,20|333,GB,NEW,All,20|333
BS,All,All,20,GB,All,All,20
BS,NEW,FRONT,20|333,GB,NEW,FRONT,20|333
BS,NEW,All,20,GB,NEW,All,20
BS,All,FRONT,20,GB,All,FRONT,20
BS,AGED,FRONT,20|333,GB,AGED,FRONT,20|333
BS,NEW,All,333,GB,NEW,All,333
BS,All,TOP,20,GB,All,TOP,20
BS,NEW,All,comb,GB,NEW,All,comb
BS,All,FRONT,comb,GB,All,FRONT,comb
BS,All,TOP,20|333,GB,All,TOP,20|333
BS,AGED,All,20|333,GB,AGED,All,20|333
BS,All,All,333,GB,All,All,333
BS,NEW,TOP,20|333,GB,NEW,TOP,20|333
BS,AGED,All,20,GB,AGED,All,20
BS,All,FRONT,333,GB,All,FRONT,333
BS,AGED,TOP,20|333,GB,AGED,TOP,20|333
BS,AGED,All,333,GB,AGED,All,333
BS,All,TOP,333,GB,All,TOP,333
BS,AGED,All,comb,GB,AGED,All,comb
BS,All,TOP,comb,GB,All,TOP,comb
