num_type_filtersize_age_load,trialnum,type,filtersize,filter_g_per_in2,age,load,imgname,area1,area2,area3,avgarea,areafiltermass,wrinkleDV,wrinklemagnitude,vialmass1,vialmass2,vialmass3,avgvialmass,filtervialmass1,filtervialmass2,filtervialmass3,avgfiltervialmass,avgfiltermass,fibermass
1_ST_20_NEW_FRONT,1,ST,20,NA,NEW,FRONT,1356,NA,NA,NA,105.527,0.403735029,0,0,13.4171,13.47,,13.44355,13.8139,13.8132,13.8139,13.81355,0.37,-0.033735029
1_ST_333_NEW_FRONT,1,ST,333,NA,NEW,FRONT,1359,NA,NA,NA,105.597,1.131916421,0,0,13.4064,13.4062,,13.4063,14.7248,14.7247,,14.72475,1.31845,0.186533579
2_ST_20_NEW_FRONT,2,ST,20,NA,NEW,FRONT,1364,NA,NA,NA,103.1,0.398274551,0,0,13.402,13.4022,,13.4021,13.787,13.7874,13.7876,13.7875,0.3854,-0.012874551
2_ST_333_NEW_FRONT,2,ST,333,NA,NEW,FRONT,1361,NA,NA,NA,105.554,1.20829411,0,0,13.4412,13.4411,,13.44115,14.7614,14.761,14.7613,14.76115,1.32,0.11170589
3_ST_20_NEW_FRONT,3,ST,20,NA,NEW,FRONT,1366,NA,NA,NA,106.759,0.412423484,0,0,13.1455,13.1454,,13.14545,13.5438,13.5438,,13.5438,0.39835,-0.014073484
3_ST_333_NEW_FRONT,3,ST,333,NA,NEW,FRONT,1368,NA,NA,NA,108.05,1.289467122,0,0,13.2867,13.2868,,13.28675,14.6066,14.6068,,14.6067,1.31995,0.030482878
1_R2_20_NEW_FRONT,1,R2,20,NA,NEW,FRONT,1371,NA,NA,NA,107.753,0.417324007,0,0,13.3592,13.3589,,13.35905,13.7535,13.7535,,13.7535,0.39445,-0.022874007
1_R2_333_NEW_FRONT,1,R2,333,NA,NEW,FRONT,1374,NA,NA,NA,103.394,1.245081422,0,0,13.3543,13.3545,,13.3544,14.622,14.6219,,14.62195,1.26755,0.022468578
2_R2_20_NEW_FRONT,2,R2,20,NA,NEW,FRONT,1375,NA,NA,NA,107.083,0.417400864,0,0,13.1432,13.1425,13.1428,13.14265,13.5443,13.5444,,13.54435,0.4017,-0.015700864
2_R2_333_NEW_FRONT,2,R2,333,NA,NEW,FRONT,1377,NA,NA,NA,105.736,1.266173896,0,0,13.4324,13.4324,,13.4324,14.7293,14.7293,,14.7293,1.2969,0.030726104
3_R2_20_NEW_FRONT,3,R2,20,NA,NEW,FRONT,1379,NA,NA,NA,101.882,0.367305002,0,0,13.215,13.2149,,13.21495,13.5956,13.5956,,13.5956,0.38065,0.013344998
3_R2_333_NEW_FRONT,3,R2,333,NA,NEW,FRONT,1381,NA,NA,NA,105.181,1.209081747,0,0,13.0839,13.0848,13.0842,13.0845,14.3742,14.3742,,14.3742,1.2897,0.080618253
1_BS_20_NEW_FRONT,1,BS,20,NA,NEW,FRONT,1383,NA,NA,NA,105.555,0.363645164,0,0,13.3028,13.3028,,13.3028,13.7255,13.7254,,13.72545,0.42265,0.059004836
1_BS_333_NEW_FRONT,1,BS,333,NA,NEW,FRONT,1385,NA,NA,NA,103.642,1.199722758,0,0,13.2837,13.2836,,13.28365,14.5602,14.5595,14.5593,14.5594,1.27575,0.076027242
2_BS_20_NEW_FRONT,2,BS,20,NA,NEW,FRONT,1387,NA,NA,NA,107.999,0.377988069,0,0,13.3718,13.3717,,13.37175,13.7866,13.7866,,13.7866,0.41485,0.036861931
2_BS_333_NEW_FRONT,2,BS,333,NA,NEW,FRONT,1389,NA,NA,NA,106.111,1.225402063,0,0,13.3858,13.3863,,13.38605,14.6291,14.692,,14.66055,1.2745,0.049097937
3_BS_20_NEW_FRONT,3,BS,20,NA,NEW,FRONT,1392,NA,NA,NA,109.112,0.381523472,0,0,13.3748,13.3748,,13.3748,13.7773,13.7773,,13.7773,0.4025,0.020976528
3_BS_333_NEW_FRONT,3,BS,333,NA,NEW,FRONT,1393,NA,NA,NA,105.418,1.212834609,0,0,13.1494,13.1492,,13.1493,14.4422,14.4423,,14.44225,1.29295,0.080115391
1_NR_20_NEW_FRONT,1,NR,20,NA,NEW,FRONT,1395,NA,NA,NA,105.5,0.367305002,0,0,13.3089,13.3089,,13.3089,13.7082,13.7078,13.7082,13.708,0.3991,0.031794998
1_NR_333_NEW_FRONT,1,NR,333,NA,NEW,FRONT,1397,NA,NA,NA,104.321,1.213564332,0,0,13.442,13.4422,,13.4421,14.7298,14.7296,,14.7297,1.2876,0.074035668
2_NR_20_NEW_FRONT,2,NR,20,NA,NEW,FRONT,1400,NA,NA,NA,106.567,0.36666453,0,0,13.3815,13.3813,,13.3814,13.7861,13.7859,,13.786,0.4046,0.03793547
2_NR_333_NEW_FRONT,2,NR,333,NA,NEW,FRONT,1402,NA,NA,NA,105.022,1.217861591,0,0,13.0992,13.3099,,13.20455,14.387,14.3869,,14.38695,1.2916,-0.035461591
3_NR_20_NEW_FRONT,3,NR,20,NA,NEW,FRONT,1403,NA,NA,NA,107.391,0.390940235,0,0,13.1834,13.1834,,13.1834,13.5855,13.5857,,13.5856,0.4022,0.011259765
3_NR_333_NEW_FRONT,3,NR,333,NA,NEW,FRONT,1404,NA,NA,NA,105.451,1.236104669,0,0,13.1215,13.1213,,13.1214,14.4113,14.4114,,14.41135,1.28995,0.053845331
1_CO_20_NEW_FRONT,1,CO,20,NA,NEW,FRONT,1406,NA,NA,NA,106.051,0.385563933,0,0,13.3416,13.3415,,13.34155,13.7561,13.756,,13.75605,0.4145,0.028936067
1_CO_333_NEW_FRONT,1,CO,333,NA,NEW,FRONT,1408,NA,NA,NA,103.379,1.119731203,0,0,13.431,13.3409,,13.38595,14.736,14.7353,14.7353,14.7353,1.34935,0.229618797
2_CO_20_NEW_FRONT,2,CO,20,NA,NEW,FRONT,1410,NA,NA,NA,107.121,0.387697619,0,0,13.1058,13.106,,13.1059,13.5337,13.5334,13.5336,13.5335,0.4276,0.039902381
2_CO_333_NEW_FRONT,2,CO,333,NA,NEW,FRONT,1415,NA,NA,NA,103.257,1.092916773,0,0,13.2342,13.2341,,13.23415,14.5246,14.5246,,14.5246,1.29045,0.197533227
3_CO_20_NEW_FRONT,3,CO,20,NA,NEW,FRONT,1417,NA,NA,NA,107.374,0.390501055,0,0,13.0725,13.0723,,13.0724,13.4944,13.4943,,13.49435,0.42195,0.031448945
3_CO_333_NEW_FRONT,3,CO,333,NA,NEW,FRONT,1416,NA,NA,NA,103.794,1.100040261,0,0,13.2049,13.2052,,13.20505,14.5054,14.5055,,14.50545,1.3004,0.200359739
1_ST_20_NEW_TOP,1,ST,20,NA,NEW,TOP,1425,NA,NA,NA,110.1,0.409228446,1,slight,13.2751,13.2751,,13.2751,13.7048,13.7048,,13.7048,0.4297,0.020471554
1_ST_333_NEW_TOP,1,ST,333,NA,NEW,TOP,1428,NA,NA,NA,100.761,1.153503098,0,0,13.2327,13.2331,,13.2329,14.5528,14.5528,,14.5528,1.3199,0.166396902
2_ST_20_NEW_TOP,2,ST,20,NA,NEW,TOP,1430,NA,NA,NA,109.802,0.396649583,1,slight,13.3744,13.3751,13.3744,13.37475,13.802,13.802,,13.802,0.42725,0.030600417
2_ST_333_NEW_TOP,2,ST,333,NA,NEW,TOP,1432,NA,NA,NA,101.248,1.186711293,0,0,13.5199,13.5194,,13.51965,14.8325,14.8323,,14.8324,1.31275,0.126038707
3_ST_20_NEW_TOP,3,ST,20,NA,NEW,TOP,1443,NA,NA,NA,112.614,0.414959752,0,0,13.1326,13.1324,,13.1325,13.5614,13.5614,,13.5614,0.4289,0.013940248
3_ST_333_NEW_TOP,3,ST,333,NA,NEW,TOP,1445,NA,NA,NA,100.783,1.159738563,0,0,13.1704,13.1703,,13.17035,14.4454,14.4453,,14.44535,1.275,0.115261437
4_ST_20_NEW_TOP,4,ST,20,NA,NEW,TOP,1447,NA,NA,NA,111.036,0.408218331,1,slight,13.1854,13.1851,,13.18525,13.6114,13.6113,,13.61135,0.4261,0.017881669
4_ST_333_NEW_TOP,4,ST,333,NA,NEW,TOP,1448,NA,NA,NA,101.48,1.166844677,0,0,13.4663,13.4664,,13.46635,14.7805,14.7809,14.7809,14.7809,1.31455,0.147705323
1_R2_20_NEW_TOP,1,R2,20,NA,NEW,TOP,1451,NA,NA,NA,110.384,0.405455153,0,0,13.30935,13.0935,,13.201425,13.5122,13.5118,13.5121,13.51195,0.4206,-0.094930153
1_R2_333_NEW_TOP,1,R2,333,NA,NEW,TOP,1453,NA,NA,NA,100.424,1.164854347,0,0,13.1869,13.1867,,13.1868,14.4888,14.4886,,14.4887,1.3019,0.137045653
2_R2_20_NEW_TOP,2,R2,20,NA,NEW,TOP,1456,NA,NA,NA,108.365,0.399709207,1,slight,13.173,13.1729,,13.17295,13.5869,13.5867,,13.5868,0.41385,0.014140793
2_R2_333_NEW_TOP,2,R2,333,NA,NEW,TOP,1457,NA,NA,NA,101.708,1.185800104,0,0,13.4758,13.4758,,13.4758,14.768,14.7674,14.7678,14.7676,1.2918,0.105999896
3_R2_20_NEW_TOP,3,R2,20,NA,NEW,TOP,1460,NA,NA,NA,107.669,0.396850874,1,slight,13.3497,13.3498,,13.34975,13.7604,13.7604,,13.7604,0.41065,0.013799126
3_R2_333_NEW_TOP,3,R2,333,NA,NEW,TOP,1462,NA,NA,NA,101.276,1.174800203,0,0,13.4736,13.4732,,13.4734,14.7805,14.7804,,14.78045,1.30705,0.132249797
4_R2_20_NEW_TOP,4,R2,20,NA,NEW,TOP,1463,NA,NA,NA,108.345,0.399621371,1,medium,13.352,13.3519,,13.35195,13.7708,13.7708,13.7705,13.77065,0.4187,0.019078629
4_R2_333_NEW_TOP,4,R2,333,NA,NEW,TOP,1464,NA,NA,NA,102.194,1.194911991,0,0,13.2224,13.2221,,13.22225,14.5392,14.5391,,14.53915,1.3169,0.121988009
1_BS_20_NEW_TOP,1,BS,20,NA,NEW,TOP,1466,NA,NA,NA,114.644,0.424973069,1,very slight,13.503,13.5034,,13.5032,13.9469,13.9471,,13.947,0.4438,0.018826931
1_BS_333_NEW_TOP,1,BS,333,NA,NEW,TOP,1468,NA,NA,NA,101.387,1.177251919,0,0,13.164,13.1637,,13.16385,14.4445,14.4445,,14.4445,1.28065,0.103398081
2_BS_20_NEW_TOP,2,BS,20,NA,NEW,TOP,1471,NA,NA,NA,111.151,0.379422725,0,0,13.3137,13.3132,,13.31345,13.7389,13.7391,,13.739,0.42555,0.046127275
2_BS_333_NEW_TOP,2,BS,333,NA,NEW,TOP,1472,NA,NA,NA,100.748,1.177390914,0,0,13.0443,13.0443,,13.0443,14.3498,14.3497,,14.34975,1.30545,0.128059086
3_BS_20_NEW_TOP,3,BS,20,NA,NEW,TOP,1474,NA,NA,NA,107.868,0.400649786,0,0,13.3926,13.3929,,13.39275,13.8031,13.8026,13.8027,13.80265,0.4099,0.009250214
3_BS_333_NEW_TOP,3,BS,333,NA,NEW,TOP,1476,NA,NA,NA,100.823,1.174962364,0,0,13.2765,13.2761,,13.2763,14.5733,14.5732,,14.57325,1.29695,0.121987636
4_BS_20_NEW_TOP,4,BS,20,NA,NEW,TOP,1478,NA,NA,NA,111.111,0.41183425,1,very slight,13.0669,13.0663,13.0666,13.06645,13.4923,13.4923,,13.4923,0.42585,0.01401575
4_BS_333_NEW_TOP,4,BS,333,NA,NEW,TOP,1479,NA,NA,NA,101.896,1.186070372,0,0,13.3182,13.3184,,13.3183,14.6124,14.6123,,14.61235,1.29405,0.107979628
1_NR_20_NEW_TOP,1,NR,20,NA,NEW,TOP,1480,NA,NA,NA,109.334,0.40619444,0,0,13.282,13.2819,,13.28195,13.7013,13.7014,,13.70135,0.4194,0.01320556
1_NR_333_NEW_TOP,1,NR,333,NA,NEW,TOP,1482,NA,NA,NA,101.51,1.173475891,0,0,13.4891,13.4895,,13.4893,14.7994,14.7994,,14.7994,1.3101,0.136624109
2_NR_20_NEW_TOP,2,NR,20,NA,NEW,TOP,1484,NA,NA,NA,111.734,0.413382362,0,0,13.2304,13.2305,,13.23045,13.6497,13.9497,,13.7997,0.4207,0.155867638
2_NR_333_NEW_TOP,2,NR,333,NA,NEW,TOP,1486,NA,NA,NA,100.136,1.164047405,0,0,13.3925,13.3924,,13.39245,14.6753,14.6752,,14.67525,1.2828,0.118752595
3_NR_20_NEW_TOP,3,NR,20,NA,NEW,TOP,1489,NA,NA,NA,107.775,0.399829982,1,medium,13.0834,13.0838,,13.0836,13.4948,13.4949,,13.49485,0.41125,0.011420018
3_NR_333_NEW_TOP,3,NR,333,NA,NEW,TOP,1491,NA,NA,NA,101.019,1.1721149,0,0,13.3223,13.3226,,13.32245,14.621,14.6212,,14.6211,1.29865,0.1265351
4_NR_20_NEW_TOP,4,NR,20,NA,NEW,TOP,1493,NA,NA,NA,106.822,0.3958005,0,0,13.2538,13.2539,,13.25385,13.657,13.6568,,13.6569,0.40305,0.0072495
4_NR_333_NEW_TOP,4,NR,333,NA,NEW,TOP,1495,NA,NA,NA,101.981,1.192170703,0,0,13.1653,13.1651,,13.1652,14.4513,14.4514,,14.45135,1.28615,0.093979297
1_CO_20_NEW_TOP,1,CO,20,NA,NEW,TOP,1498,NA,NA,NA,107.203,NA,1,slight,13.4157,13.4161,,13.4159,13.8378,13.8378,,13.8378,0.4219,NA
1_CO_333_NEW_TOP,1,CO,333,NA,NEW,TOP,1500,NA,NA,NA,102.036,1.177836856,0,0,13.442,13.4422,,13.4421,14.7428,14.7426,,14.7427,1.3006,0.122763144
2_CO_20_NEW_TOP,2,CO,20,NA,NEW,TOP,1501,NA,NA,NA,109.861,0.407398527,1,slight,13.3392,13.3392,,13.3392,13.7686,13.7687,,13.76865,0.42945,0.022051473
2_CO_333_NEW_TOP,2,CO,333,NA,NEW,TOP,1503,NA,NA,NA,101.417,1.175867761,0,0,13.3937,13.3937,,13.3937,14.6966,14.6965,,14.69655,1.30285,0.126982239
3_CO_20_NEW_TOP,3,CO,20,NA,NEW,TOP,1507,NA,NA,NA,110.553,0.40957613,1,medium,13.2596,13.2598,,13.2597,13.6905,13.6905,,13.6905,0.4308,0.02122387
3_CO_333_NEW_TOP,3,CO,333,NA,NEW,TOP,1508,NA,NA,NA,100.637,1.165292567,0,0,13.4016,13.4014,,13.4015,14.7121,14.7121,,14.7121,1.3106,0.145307433
4_CO_20_NEW_TOP,4,CO,20,NA,NEW,TOP,1510,NA,NA,NA,113.021,0.41884284,1,very slight,13.2231,13.2233,,13.2232,13.6657,13.6661,13.6657,13.6659,0.4427,0.02385716
4_CO_333_NEW_TOP,4,CO,333,NA,NEW,TOP,1514,NA,NA,NA,101.385,1.177564657,0,0,13.2974,13.2963,13.2965,13.2964,14.6122,14.6133,14.6134,14.61335,1.31695,0.139385343
1_ST_20_AGED_FRONT,1,ST,20,NA,AGED,FRONT,1515,NA,NA,NA,105.913,0.382767817,1,slight,13.1599,13.1601,,13.16,13.5634,13.5633,,13.56335,0.40335,0.020582183
1_ST_333_AGED_FRONT,1,ST,333,NA,AGED,FRONT,1518,NA,NA,NA,103.204,1.174703679,0,0,13.435,13.435,,13.435,14.7301,14.7303,,14.7302,1.2952,0.120496321
2_ST_20_AGED_FRONT,2,ST,20,NA,AGED,FRONT,1519,NA,NA,NA,104.772,0.372498312,1,very slight,13.2964,13.2969,,13.29665,13.6959,13.6959,,13.6959,0.39925,0.026751688
2_ST_333_AGED_FRONT,2,ST,333,NA,AGED,FRONT,1521,NA,NA,NA,103.253,1.156472184,0,0,13.5075,13.5075,,13.5075,14.8029,14.8029,,14.8029,1.2954,0.138927816
3_ST_20_AGED_FRONT,3,ST,20,NA,AGED,FRONT,1524,NA,NA,NA,104.302,0.37774103,1,very slight,13.1238,13.1242,,13.124,13.5229,13.5232,13.5229,13.52305,0.39905,0.02130897
3_ST_333_AGED_FRONT,3,ST,333,NA,AGED,FRONT,1526,NA,NA,NA,102.785,1.16231383,0,0,13.0636,13.0639,,13.06375,14.3587,14.3586,,14.35865,1.2949,0.13258617
